project_id,activity_id,wbs_code,discipline,activity_name,location,planned_start,planned_finish,planned_duration_days,actual_start,actual_finish,actual_duration_days,variance_days,delay_reason
HIST-P1,P1-CIV-01,1.1.1,Civil,Foundation excavation Tank T-201,Tank Farm,2023-01-09,2023-01-12,4,2023-01-09,2023-01-12,4,0,none
HIST-P1,P1-CIV-02,1.1.2,Civil,Foundation concrete pour Tank T-201,Tank Farm,2023-01-13,2023-01-15,3,2023-01-13,2023-01-17,5,2,rework
HIST-P1,P1-CIV-03,1.1.3,Civil,Foundation excavation Tank T-202,Tank Farm,2023-01-16,2023-01-19,4,2023-01-16,2023-01-19,4,0,none
HIST-P1,P1-CIV-04,1.1.4,Civil,Tank foundation compaction T-203,Tank Farm,2023-01-20,2023-01-21,2,2023-01-20,2023-01-21,2,0,none
HIST-P1,P1-CIV-05,1.1.5,Civil,Access road paving,Battery Limit,2023-01-22,2023-01-25,4,2023-01-22,2023-01-26,5,1,weather
HIST-P1,P1-PIP-LINE-01,1.2.1,Piping,Erect Line 6-101,Tank Farm,2023-01-26,2023-01-27,2,2023-01-26,2023-01-27,2,0,none
HIST-P1,P1-PIP-LINE-02,1.2.2,Piping,Erect Line 6-102,Tank Farm,2023-01-28,2023-01-29,2,2023-01-28,2023-01-30,3,1,material delay
HIST-P1,P1-PIP-LINE-03,1.2.3,Piping,Erect Line 8-103,Pump House,2023-01-30,2023-01-31,2,2023-01-30,2023-01-31,2,0,none
HIST-P1,P1-PIP-LINE-04,1.2.4,Piping,Erect Line 10-105,Tank Farm,2023-02-01,2023-02-03,3,2023-02-01,2023-02-03,3,0,none
HIST-P1,P1-PIP-LINE-05,1.2.5,Piping,Erect Line 12-107,Substation Approach,2023-02-04,2023-02-06,3,2023-02-04,2023-02-07,4,1,manpower shortage
HIST-P1,P1-PIP-LINE-06,1.2.6,Piping,Erect Line 16-110,Tank Farm,2023-02-07,2023-02-10,4,2023-02-07,2023-02-10,4,0,none
HIST-P1,P1-PIP-LINE-07,1.2.7,Piping,Erect Line 24-114,Tank Farm,2023-02-11,2023-02-16,6,2023-02-11,2023-02-17,7,1,rework
HIST-P1,P1-PIP-06,1.2.8,Piping,Install valve manifold VM-12,Pump House,2023-02-17,2023-02-18,2,2023-02-17,2023-02-19,3,1,material delay
HIST-P1,P1-PIP-07,1.2.9,Piping,Hydrotest Line 16-110,Tank Farm,2023-02-19,2023-02-19,1,2023-02-19,2023-02-19,1,0,none
HIST-P1,P1-PIP-08,1.2.10,Piping,Erect pump discharge header,Pump House,2023-02-20,2023-02-22,3,2023-02-20,2023-02-23,4,1,crane breakdown
HIST-P1,P1-ELE-01,1.3.1,Electrical,Cable tray installation,Substation Approach,2023-02-23,2023-02-25,3,2023-02-23,2023-02-25,3,0,none
HIST-P1,P1-ELE-02,1.3.2,Electrical,Substation transformer foundation,Substation Approach,2023-02-26,2023-03-02,5,2023-02-26,2023-03-03,6,1,manpower shortage
HIST-P1,P1-HSE-01,1.4.1,HSE,Site safety audit closeout,Tank Farm,2023-03-03,2023-03-03,1,2023-03-03,2023-03-03,1,0,none
HIST-P2,P2-CIV-01,2.1.1,Civil,Trenching Pipeline Corridor Ch.0-500,Pipeline Corridor,2024-02-05,2024-02-09,5,2024-02-05,2024-02-09,5,0,none
HIST-P2,P2-CIV-02,2.1.2,Civil,Trenching Pipeline Corridor Ch.500-1000,Pipeline Corridor,2024-02-10,2024-02-14,5,2024-02-10,2024-02-16,7,2,rocky strata
HIST-P2,P2-CIV-03,2.1.3,Civil,River crossing casing pipe install,River Crossing,2024-02-15,2024-02-20,6,2024-02-15,2024-02-23,9,3,land/ROW access
HIST-P2,P2-CIV-04,2.1.4,Civil,Backfill and reinstatement Ch.0-500,Pipeline Corridor,2024-02-21,2024-02-23,3,2024-02-21,2024-02-24,4,1,utility clash
HIST-P2,P2-PIP-LINE-01,2.2.1,Piping,Erect Line 8-104,Pipeline Corridor,2024-02-24,2024-02-25,2,2024-02-24,2024-02-27,4,2,rocky strata
HIST-P2,P2-PIP-LINE-02,2.2.2,Piping,Erect Line 10-106,Pipeline Corridor,2024-02-26,2024-02-28,3,2024-02-26,2024-03-02,5,2,land/ROW access
HIST-P2,P2-PIP-LINE-03,2.2.3,Piping,Erect Line 12-108,Pipeline Corridor,2024-02-29,2024-03-02,3,2024-02-29,2024-03-02,3,0,none
HIST-P2,P2-PIP-LINE-04,2.2.4,Piping,Erect Line 16-109,Pipeline Corridor,2024-03-03,2024-03-06,4,2024-03-03,2024-03-08,6,2,crane breakdown
HIST-P2,P2-PIP-LINE-05,2.2.5,Piping,Erect Line 20-111,Pipeline Corridor,2024-03-07,2024-03-11,5,2024-03-07,2024-03-13,7,2,weather
HIST-P2,P2-PIP-LINE-06,2.2.6,Piping,Erect Line 20-112,Battery Limit,2024-03-12,2024-03-16,5,2024-03-12,2024-03-16,5,0,none
HIST-P2,P2-PIP-LINE-07,2.2.7,Piping,Erect Line 24-113,Pipeline Corridor,2024-03-17,2024-03-22,6,2024-03-17,2024-03-25,9,3,utility clash
HIST-P2,P2-PIP-08,2.2.8,Piping,Install tie-in spool,Unit 2 Tie-in,2024-03-23,2024-03-24,2,2024-03-23,2024-03-24,2,0,none
HIST-P2,P2-PIP-09,2.2.9,Piping,Hydrotest Line 20-111,Pipeline Corridor,2024-03-25,2024-03-25,1,2024-03-25,2024-03-26,2,1,weather
HIST-P2,P2-PIP-10,2.2.10,Piping,Install pig launcher,Battery Limit,2024-03-26,2024-03-28,3,2024-03-26,2024-03-28,3,0,none
HIST-P2,P2-PIP-11,2.2.11,Piping,Erect pig receiver,Battery Limit,2024-03-29,2024-03-31,3,2024-03-29,2024-04-02,5,2,crane breakdown
HIST-P2,P2-ELE-01,2.3.1,Electrical,Cathodic protection cable laying,Pipeline Corridor,2024-04-01,2024-04-03,3,2024-04-01,2024-04-03,3,0,none
HIST-P2,P2-ELE-02,2.3.2,Electrical,CP test station installation,Pipeline Corridor,2024-04-04,2024-04-05,2,2024-04-04,2024-04-06,3,1,material delay
HIST-P2,P2-HSE-01,2.4.1,HSE,Trench safety inspection,Pipeline Corridor,2024-04-06,2024-04-06,1,2024-04-06,2024-04-06,1,0,none
